Qubit,Initial CNOT Count,File,Synthesized CNOT Count(opt=0),Overhead(opt=0)
16,128,1,815,6.3671875
16,128,10,818,6.390625
16,128,2,815,6.3671875
16,128,3,704,5.5
16,128,4,710,5.546875
16,128,5,758,5.921875
16,128,6,728,5.6875
16,128,7,758,5.921875
16,128,8,725,5.6640625
16,128,9,758,5.921875
16,16,1,70,4.375
16,16,10,94,5.875
16,16,2,109,6.8125
16,16,3,88,5.5
16,16,4,118,7.375
16,16,5,88,5.5
16,16,6,97,6.0625
16,16,7,103,6.4375
16,16,8,94,5.875
16,16,9,103,6.4375
16,256,1,1528,5.96875
16,256,10,1405,5.48828125
16,256,2,1507,5.88671875
16,256,3,1438,5.6171875
16,256,4,1375,5.37109375
16,256,5,1510,5.8984375
16,256,6,1432,5.59375
16,256,7,1543,6.02734375
16,256,8,1498,5.8515625
16,256,9,1510,5.8984375
16,32,1,179,5.59375
16,32,10,191,5.96875
16,32,2,221,6.90625
16,32,3,173,5.40625
16,32,4,176,5.5
16,32,5,158,4.9375
16,32,6,194,6.0625
16,32,7,188,5.875
16,32,8,185,5.78125
16,32,9,224,7.0
16,4,1,22,5.5
16,4,10,25,6.25
16,4,2,31,7.75
16,4,3,46,11.5
16,4,4,25,6.25
16,4,5,34,8.5
16,4,6,31,7.75
16,4,7,22,5.5
16,4,8,16,4.0
16,4,9,34,8.5
16,64,1,403,6.296875
16,64,10,382,5.96875
16,64,2,370,5.78125
16,64,3,340,5.3125
16,64,4,358,5.59375
16,64,5,397,6.203125
16,64,6,340,5.3125
16,64,7,373,5.828125
16,64,8,370,5.78125
16,64,9,397,6.203125
16,8,1,50,6.25
16,8,10,41,5.125
16,8,2,38,4.75
16,8,3,77,9.625
16,8,4,56,7.0
16,8,5,53,6.625
16,8,6,44,5.5
16,8,7,56,7.0
16,8,8,32,4.0
16,8,9,35,4.375
