Qubit,Initial CNOT Count,File,Synthesized CNOT Count,Overhead
20,128,1,695,5.4296875
20,128,10,818,6.390625
20,128,2,728,5.6875
20,128,3,752,5.875
20,128,4,728,5.6875
20,128,5,692,5.40625
20,128,6,752,5.875
20,128,7,716,5.59375
20,128,8,683,5.3359375
20,128,9,707,5.5234375
20,16,1,103,6.4375
20,16,10,85,5.3125
20,16,2,88,5.5
20,16,3,97,6.0625
20,16,4,103,6.4375
20,16,5,97,6.0625
20,16,6,82,5.125
20,16,7,94,5.875
20,16,8,76,4.75
20,16,9,91,5.6875
20,256,1,1465,5.72265625
20,256,10,1393,5.44140625
20,256,2,1396,5.453125
20,256,3,1417,5.53515625
20,256,4,1405,5.48828125
20,256,5,1441,5.62890625
20,256,6,1519,5.93359375
20,256,7,1363,5.32421875
20,256,8,1414,5.5234375
20,256,9,1459,5.69921875
20,32,1,173,5.40625
20,32,10,155,4.84375
20,32,2,185,5.78125
20,32,3,143,4.46875
20,32,4,134,4.1875
20,32,5,161,5.03125
20,32,6,173,5.40625
20,32,7,179,5.59375
20,32,8,197,6.15625
20,32,9,164,5.125
20,4,1,10,2.5
20,4,10,19,4.75
20,4,2,16,4.0
20,4,3,25,6.25
20,4,4,28,7.0
20,4,5,28,7.0
20,4,6,22,5.5
20,4,7,19,4.75
20,4,8,22,5.5
20,4,9,25,6.25
20,64,1,334,5.21875
20,64,10,388,6.0625
20,64,2,328,5.125
20,64,3,367,5.734375
20,64,4,328,5.125
20,64,5,373,5.828125
20,64,6,388,6.0625
20,64,7,367,5.734375
20,64,8,325,5.078125
20,64,9,409,6.390625
20,8,1,44,5.5
20,8,10,44,5.5
20,8,2,47,5.875
20,8,3,59,7.375
20,8,4,53,6.625
20,8,5,41,5.125
20,8,6,44,5.5
20,8,7,50,6.25
20,8,8,65,8.125
20,8,9,38,4.75
